Name	Smiles	Odor	Reference
2-butyl-4-methyl-1,3-oxathiane	CCCCC1OCCC(S1)C	green	The Good Scents Company Information System
2-iso butyl pyrazine	CC(C)CC1=NC=CN=C1	green	The Good Scents Company Information System
2-butyl pyridine	CCCCC1=CC=CC=N1	green	The Good Scents Company Information System
2-butyl thiazole	CCCCC1=NC=CS1	green	The Good Scents Company Information System
2-iso butyl thiazole	CC(C)CC1=NC=CS1	green	The Good Scents Company Information System
4-butyl thiazole	 CCCCC1=CSC=N1	green	The Good Scents Company Information System
iso butyl isothiocyanate	CC(C)CN=C=S	green	The Good Scents Company Information System
beta-cadinene	CC1=CC[C@@H]2[C@@H](C1)[C@@H](CC=C2C)C(C)C	green	The Good Scents Company Information System
carvyl acetate	CC1=CCC(CC1OC(=O)C)C(=C)C	green	The Good Scents Company Information System
chrysanthemum oxide	COCCC1=CC=CC=C1	green	The Good Scents Company Information System
cinnamaldehyde dimethyl acetal	COC(/C=C/C1=CC=CC=C1)OC	green	The Good Scents Company Information System
(Z)-isocitral	CC(=CC/C=C(/C)\CC=O)C	green	The Good Scents Company Information System
citral / diisotridecyl acetal	C/C=C(\C)/C/C=C(\C)/CC(OCCCCCCCCCCC(C)C)OCCCCCCCCCCC(C)C  	green	The Good Scents Company Information System
citral diethyl acetal	CCOC(/C=C(\C)/CCC=C(C)C)OCC	green	The Good Scents Company Information System
cognac heptanone	CC(C)CC(=O)CC(C)C 	green	The Good Scents Company Information System
cortex pyridine	C1=CC=C(C=C1)CCCC2=CC=CC=N2	green	The Good Scents Company Information System
coumane	C1[C@H]2[C@@H]1C(=O)OC3=CC=CC=C23	green	The Good Scents Company Information System
2-cyclohexyl propionaldehyde	CC(C=O)C1CCCCC1  	green	The Good Scents Company Information System
decanal propylene glycol acetal	CCCCCCCCCC1OCC(O1)C  	green	The Good Scents Company Information System
2,4,7-decatrienal	CC/C=C/C/C=C/C=C/C=O 	green	The Good Scents Company Information System
(E,E,Z)-2,4,7-decatrienal	CC/C=C\C/C=C/C=C/C=O  	green	The Good Scents Company Information System
dehydroxylinalool oxide	CC1(CCCC(O1)(C)C=C)C  	green	The Good Scents Company Information System
2,5-diethyl-4-methyl thiazole	CCC1=C(N=C(S1)CC)C	green	The Good Scents Company Information System
3,4-dimethoxystyrene	COC1=C(C=C(C=C1)C=C)OC 	green	The Good Scents Company Information System
alpha,alpha-dimethyl benzyl alcohol	CC(C)(C1=CC=CC=C1)O  	green	The Good Scents Company Information System
2,5-dimethyl bicyclo(3.2.1)oct-2-ene	CC1=CCC2(CCC1C2)C  	green	The Good Scents Company Information System
2,3-dimethyl-5-isobutyl pyrazine	CC1=NC=C(N=C1C)CC(C)C  	green	The Good Scents Company Information System
para-dimethyl hydroquinone	COC1=CC=C(C=C1)OC  	green	The Good Scents Company Information System
2,3-dimethyl valeraldehyde	CCC(C)C(C)C=O  	green	The Good Scents Company Information System
diphenyl methane	C1=CC=C(C=C1)CC2=CC=CC=C2  	green	The Good Scents Company Information System
diphenyl oxide	C1=CC=C(C=C1)OC2=CC=CC=C2	green	The Good Scents Company Information System
2,6-dipropyl-5,6-dihydro-2H-thiopyran-3-carboxaldehyde	CCCC1CC=C(C(S1)CCC)C=O  	green	The Good Scents Company Information System
dodecanal dimethyl acetal	CCCCCCCCCCCC(OC)OC  	green	The Good Scents Company Information System
2-dodecenal	CCCCCCCCC/C=C/C=O  	green	The Good Scents Company Information System
(-)-gamma-elemene	CC(=C1CC[C@]([C@H](C1)C(=C)C)(C)C=C)C  	green	The Good Scents Company Information System
alpha-elemol	CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O 	green	The Good Scents Company Information System
2,3-epoxypinane	CC1(C2CC1C3(C(C2)O3)C)C  	green	The Good Scents Company Information System
1-ethoxyethyl acetate	CCOC(C)OC(=O)C  	green	The Good Scents Company Information System
ethyl 2-benzyl butyrate	CCOC(=O)C(CC1=CC=CC=C1)C(=O)C 	green	The Good Scents Company Information System
2-ethyl butyraldehyde	CCC(CC)C=O  	green	The Good Scents Company Information System
ethyl (E,Z)-2,4-decadienoate	 CCCCC/C=C\C=C\C(=O)OCC  	green	The Good Scents Company Information System
ethyl (E)-2-decenoate	CCCCCCC/C=C/C(=O)OCC  	green	The Good Scents Company Information System
ethyl (E)-4-decenoate	CCCCC/C=C/CCC(=O)OCC  	green	The Good Scents Company Information System
2-ethyl-4,5-dimethyl oxazole	CCC1=NC(=C(O1)C)C 	green	The Good Scents Company Information System
2-ethyl-2-heptenal	CCCC/C=C(\CC)/C=O  	green	The Good Scents Company Information System
ethyl (Z)-4-heptenoate	CC/C=C\CCC(=O)OCC  	green	The Good Scents Company Information System
ethyl 3-oxohexanoate	CCCC(=O)CC(=O)OCC  	green	The Good Scents Company Information System
ethyl (E)-3-hexenoate	CC/C=C\CC(=O)OCC  	green	The Good Scents Company Information System
ethyl phenoxyacetate	CCOC(=O)COC1=CC=CC=C1  	green	The Good Scents Company Information System
2-ethyl pyridine	CCC1=CC=CC=N1  	green	The Good Scents Company Information System
ethylene glycol diacetate	CC(=O)OCCOC(=O)C  	green	The Good Scents Company Information System
(Z)-beta-farnesene	CC(=CCC/C(=C\CCC(=C)C=C)/C)C  	green	The Good Scents Company Information System
farnesyl acetate	CC(=CCC/C(=C/CC/C(=C/COC(=O)C)/C)/C)C 	green	The Good Scents Company Information System
1-furfuryl pyrrole	C1=CN(C=C1)CC2=CC=CO2  	green	The Good Scents Company Information System
3-(2-furyl) acrolein	C1=COC(=C1)/C=C/C=O  	green	The Good Scents Company Information System
2,4-heptadienal	CC/C=C/C=C/C=O  	green	The Good Scents Company Information System
(E,E)-2,4-heptadien-1-ol	CC/C=C/C=C/CO	green	The Good Scents Company Information System
2-heptenal	CCCC/C=C/C=O  	green	The Good Scents Company Information System
2-heptenoic acid	CCCC/C=C/C(=O)O  	green	The Good Scents Company Information System
2-heptyl furan	CCCCCCCC1=CC=CO1  	green	The Good Scents Company Information System
heptyl heptanoate	CCCCCCCOC(=O)CCCCCC  	green	The Good Scents Company Information System
2-heptyl pyridine	CCCCCCCC1=CC=CC=N1 	green	The Good Scents Company Information System
(E,E)-2,4-hexadienal	C/C=C/C=C/C=O 	green	The Good Scents Company Information System
(E,E)-2,4-hexadien-1-ol	C/C=C/C=C/CO  	green	The Good Scents Company Information System
hexanal butane-2,3-diol acetal	CCCCCC1OC(C(O1)C)C 	green	The Good Scents Company Information System
(E)-2-hexenal	CCC/C=C/C=O 	green	The Good Scents Company Information System
(Z)-2-hexenal	CCC/C=C\C=O  	green	The Good Scents Company Information System
(E)-3-hexenal	 CC/C=C/CC=O  	green	The Good Scents Company Information System
(Z)-3-hexenal	 CC/C=C\CC=O  	green	The Good Scents Company Information System
(E)-4-hexenal	C/C=C/CCC=O  	green	The Good Scents Company Information System
(Z)-3-hexen-1-yl acetate	CC/C=C\CCOC(=O)C  	green	The Good Scents Company Information System
1-hexen-3-yl acetate	CCCC(C=C)OC(=O)C  	green	The Good Scents Company Information System
(Z)-3-hexen-1-yl angelate	 CC/C=C\CCOC(=O)/C(=C\C)/C  	green	The Good Scents Company Information System
(Z)-3-hexen-1-yl benzoate	CC/C=C\CCOC(=O)C1=CC=CC=C1  	green	The Good Scents Company Information System
2-hexenyl hexanoate	CCCCCC(=O)OC/C=C/CCC	green	The Good Scents Company Information System
2,4-ivy carbaldehyde	CC1C=C(CCC1C=O)C  	green	The Good Scents Company Information System
3,5-ivy carbaldehyde	CC1CC(CC(=C1)C)C=O  	green	The Good Scents Company Information System
3,6-ivy carbaldehyde	CC1CC=C(CC1C=O)C 	green	The Good Scents Company Information System
ivy carbaldehyde / methyl anthranilate schiff's base	CC1C=CCCC1(C)C=O  	green	The Good Scents Company Information System
(+)-(E)-limonene oxide	CC(=C)[C@@H]1CC[C@@]2(C(C1)O2)C	green	The Good Scents Company Information System
1-methoxy-2,7-octadiene	COC/C=C/CCCC=C  	green	The Good Scents Company Information System
2-methoxypyridine	COC1=CC=CC=N1  	green	The Good Scents Company Information System
3-(5-methyl-2-furyl) butanal	CC1=CC=C(O1)C(C)CC=O 	green	The Good Scents Company Information System
6-methyl heptanal	CC(C)CCCCC=O  	green	The Good Scents Company Information System
methyl heptine carbonate	CCCCCC#CC(=O)OC 	green	The Good Scents Company Information System
methyl (E)-3-hexenoate	CC/C=C/CC(=O)OC 	green	The Good Scents Company Information System
5-methyl-5-hexen-2-one	CC(=C)CCC(=O)C  	green	The Good Scents Company Information System
1,5-dimethyl-3-isopropyl-2-oxabicyclo(2.2.2)octane	CC1CC2(CCC1C(O2)C(C)C)C 	green	The Good Scents Company Information System
3-methyl-3-pentanol	CCC(C)(CC)O	green	The Good Scents Company Information System
methyl 4-pentenoate	COC(=O)CCC=C  	green	The Good Scents Company Information System
2-methyl-6-propoxypyrazine	CCCOC1=NC(=CN=C1)C  	green	The Good Scents Company Information System
2-methyl-5-isopropyl pyrazine	CC1=CN=C(C=N1)C(C)C 	green	The Good Scents Company Information System
2-methyl thiazole	CC1=NC=CS1  	green	The Good Scents Company Information System
2-methyl-2-octenal	CCCCC/C=C(\C)/C=O  	green	The Good Scents Company Information System
1,5-nonadien-4-yl acetate	CCCC=CC(CC=C)OC(=O)C 	green	The Good Scents Company Information System
2,4-nonadienal	CCCC/C=C/C=C/C=O 	green	The Good Scents Company Information System
2,6-nonadienal	CC/C=C\CC/C=C/C=O  	green	The Good Scents Company Information System
(E,E)-2,6-nonadienal	 CC/C=C/CC/C=C/C=O  	green	The Good Scents Company Information System
(E,Z)-2,6-nonadienal	CC/C=C\CC/C=C/C=O	green	The Good Scents Company Information System
(E,Z)-2,6-nonadien-1-ol	CC/C=C\CC/C=C/CO  	green	The Good Scents Company Information System
3,6-nonadien-1-ol	CCC=CCC=CCCO	green	The Good Scents Company Information System
(E,Z)-3,6-nonadien-1-ol	CC/C=C\C/C=C/CCO	green	The Good Scents Company Information System
(Z,Z)-3,6-nonadien-1-ol	CCC=CCC=CCCO  	green	The Good Scents Company Information System
(E,Z)-2,6-nonadien-1-yl acetate	CC/C=C\CC/C=C\COC(=O)C  	green	The Good Scents Company Information System
(E,Z)-3,6-nonadien-1-yl acetate	CC/C=C\C/C=C/CCOC(=O)C 	green	The Good Scents Company Information System
2,4,6-nonatrienal	 CC/C=C/C=C/C=C/C=O  	green	The Good Scents Company Information System
(Z)-3-nonenal	CCCCC/C=C\CC=O  	green	The Good Scents Company Information System
(Z)-6-nonenal	CC/C=C\CCCCC=O  	green	The Good Scents Company Information System
2-nonene nitrile	CCCCCCC(=C(C)C#N)C  	green	The Good Scents Company Information System
(E)-2-nonen-1-ol	CCCCCC/C=C/CO  	green	The Good Scents Company Information System
(Z)-2-nonen-1-ol	CCCCCC/C=C\CO  	green	The Good Scents Company Information System
(E)-3-nonen-1-ol	CCCCC/C=C/CCO 	green	The Good Scents Company Information System
(Z)-6-nonen-1-ol	CC/C=C\CCCCCO  	green	The Good Scents Company Information System
2-nonyn-1-al dimethyl acetal	CCCCCCC#CC(OC)OC	green	The Good Scents Company Information System
2,4-octadienal	CCC/C=C/C=C/C=O  	green	The Good Scents Company Information System
(E,E)-2,6-octadienal	C/C=C/CC/C=C/C=O  	green	The Good Scents Company Information System
(Z)-1,5-octadien-3-ol	CC/C=C\CC(C=C)O  	green	The Good Scents Company Information System
(E,Z)-3,5-octadien-2-one	CC/C=C\C=C\C(=O)C  	green	The Good Scents Company Information System
(E)-2-octenal	 CCCCC/C=C/C=O  	green	The Good Scents Company Information System
(E)-6-octenal	C/C=C/CCCCC=O  	green	The Good Scents Company Information System
2-octen-1-ol	CC(CCC=C(C)C)CCO  	green	The Good Scents Company Information System
(E)-2-octen-1-ol	CCCCC/C=C/CO  	green	The Good Scents Company Information System
(Z)-5-octen-1-ol	CC/C=C\CCCCO 	green	The Good Scents Company Information System
(E)-2-octen-1-yl acetate	 CCCCC/C=C/COC(=O)C 	green	The Good Scents Company Information System
1-octen-3-yl acetate	CCCCCC(C=C)OC(=O)C 	green	The Good Scents Company Information System
3-octyl formate	CCCCCCCCOC=O  	green	The Good Scents Company Information System
(E)-2-pentenal	CC/C=C/C=O  	green	The Good Scents Company Information System
